STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2006,,29886.612,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2007,,29716.308,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2008,,30704.026,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2009,,29870.044,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2010,,30644.606,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2011,,30125.426,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2012,,30879.093,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2013,,31163.508,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2014,,30194.812,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2015,,30705.908,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2016,,30777.257,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AT,Austria,2017,,31536.650,,,,,
