STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SCENARIO,Scenario,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2023,,62948.15793,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2024,,63213.91362,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2025,,63587.69763,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2026,,64080.79235,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2027,,64967.62,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2028,,65836.86,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2029,,66721.75,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2030,,67631.11,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2031,,68571.49,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2032,,69534.66,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
