scenario,iso3c,SSP,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
default,AGO,SSP2,gdp,million constant 2017 Int$PPP,120686.998750232,179666.395220529,224090.335322844,208116.643927103,232619.282645317,258572.783459837,273871.411957075,303732.920006232,360976.228005014,452926.126417815,583844.074459344,757251.425552701,977919.534075831,1248312.98084172,1570113.83208874,1940145.3458279,2353763.60559038,2809267.50325232,3301631.02688222,3829742.20913951
default,AGO,SSP3,gdp,million constant 2017 Int$PPP,120686.998750232,179666.395220529,224090.335322844,208116.643927103,232619.282645317,257546.525083984,257012.063099897,258090.939535269,270270.355510033,299937.1973654,349725.848637128,419893.023849178,510691.104319964,621184.104857111,750200.711727273,895287.583075092,1053637.65824193,1225010.42934449,1407544.26184706,1602527.23381268
default,AGO,SSP4,gdp,million constant 2017 Int$PPP,120686.998750232,179666.395220529,224090.335322844,208116.643927103,232619.282645317,264358.538127518,280767.398549277,307623.716891004,356712.160859258,438304.12967373,559910.921784572,727168.516199401,945819.1151248,1220019.85695344,1552192.64986049,1940920.80611236,2383040.77563004,2878879.00815511,3424438.1390148,4022876.70115366
default,AGO,SSP5,gdp,million constant 2017 Int$PPP,120686.998750232,179666.395220529,224090.335322844,208116.643927103,232619.282645317,305394.874014458,400208.955956502,523637.065178061,698253.549741564,942628.488783088,1263141.595981,1661506.78805184,2133294.53497223,2669160.47364378,3253989.25816605,3871770.03151601,4498886.455425,5112309.7690654,5689099.99921045,6207701.28517273
default,AGO,SSP1,pop,million,19.433604,23.356247,27.88438,32.866268,38.4783137620641,41.8061019336751,44.1076758882783,46.2073573907234,48.1120458469384,49.725715099006,50.9334504514682,51.6792649217937,52.0095315662205,52.0182406523921,51.6716868857743,50.98446081333,49.9105286938668,48.4187866482005,46.5255217985222,44.3130745959082
default,AGO,SSP2,pop,million,19.433604,23.356247,27.88438,32.866268,38.4783137620641,43.584277658928,48.4459419020529,53.1860514405324,57.7068385679576,61.9359991927723,65.8307795912736,69.3529319469135,72.4893576923812,75.1978270466661,77.4279367227558,79.1536991631055,80.3368665511672,80.9841453534042,81.1342025405182,80.9012576194606
default,AGO,SSP3,pop,million,19.433604,23.356247,27.88438,32.866268,38.4783137620641,44.2797827211947,50.2959864423688,56.4833891365758,62.7603467438089,69.0591099074414,75.3089880562623,81.4443616786886,87.3955544154349,93.0870074780476,98.4494501920117,103.415234621893,107.925536476009,111.940395804494,115.450887542403,118.470095023575
default,AGO,SSP4,pop,million,19.433604,23.356247,27.88438,32.866268,38.4783137620641,44.4062791227659,50.5990152432732,56.9015380271856,63.2409596436421,69.567643580919,75.8232593557891,81.9350202300832,87.8146722837713,93.3666829230063,98.5185686876949,103.216042802286,107.413209184656,111.073371187645,114.175804809412,116.717780547278
default,AGO,SSP5,pop,million,19.433604,23.356247,27.88438,32.866268,38.4783137620641,41.7975626997119,44.0843364060324,46.1662450526376,48.0489447703865,49.6360550894405,50.8125303081263,51.5238453249625,51.8160410451419,51.7848192027998,51.3961298901648,50.6667152545796,49.5503081456171,48.0178360506616,46.0881904467825,43.8430458635847
default,AIA,SSP1,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,AIA,SSP2,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,AIA,SSP3,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,AIA,SSP4,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,AIA,SSP5,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,AIA,SSP1,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,AIA,SSP2,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,AIA,SSP3,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,AIA,SSP4,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,AIA,SSP5,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
