country,year,scenario,hdd_DegreesC,cdd_DegreesC,population_Mio,gdp_per_capita_USD,gdp_growth_rate_Percent,ln_pop,ln_gdp_pc,panel_predictions,ln_total_floor,ln_thermal_index,total_floor_m2,thermal_index,ln_hdd,ln_cdd
Sweden,2040,KVE,4715.311824166667,0.8932900000000004,11.108521,81496.18,1.943838105074569,2.493909419635782,11.308323697403324,50.52819020587255,20.16951514928341,4.867169475224276,574789903.9419273,128.95256187732664,8.458782379947792,0.6383160564790881
Sweden,2045,KVE,4142.52284,3.7985950000000006,11.293147,87990.98,1.8341702638030144,2.5090419526385994,11.385000952943535,48.25711905386074,20.206232945161307,4.829206759380096,596287173.3617648,124.11167761759155,8.329301632522004,1.5683231667330664
Sweden,2050,KVE,3830.146204166667,4.082845000000001,11.457559,94148.38,1.5437033763486374,2.5223275872649564,11.452637948827292,46.154958152991234,20.238535108077738,4.794418276383421,615863007.5681775,119.83406930202152,8.250919307419759,1.6258711441969478
Sweden,2055,KVE,3810.662556666666,8.779597500000001,11.584352,100097.0,1.4052887137050218,2.532454137392739,11.513904985083729,44.379654309899735,20.26570823697891,4.7632202120759235,632827376.1409197,116.12247850361018,8.245820739519717,2.2802983277805957
Sweden,2060,KVE,3818.757122083334,6.908047500000001,11.6671,106829.7,1.5374956425738828,2.5390080809994253,11.579000617385,42.85734189707479,20.290003830992863,4.734634803057493,648390586.3538476,112.82188372321554,8.247942118972832,2.067880911865951
Austria,2025,VNI,3583.6703875,34.035557499999996,9.197213,62963.14442,-0.0362959591541978,2.322114447660544,11.050320707163715,28.71986555722123,19.995535849271405,5.198034423103453,483004171.0051699,179.91628728719573,8.18442180668684,3.556363474354662
Austria,2026,VNI,2991.0850516666665,50.45288000000001,9.219116,63580.49807,1.2209833039249718,2.324260083969892,11.060077796156389,27.60272092179658,20.000489286542138,5.187705559489692,485402637.2946838,178.0572450548296,8.003725765049527,3.9406664373898077
Austria,2027,VNI,3204.6490833333332,60.7640975,9.234675,64983.96,2.3798722654384985,2.3257814648230624,11.08191113748884,27.048569237296583,20.007937125070463,5.1753470819363905,489031333.965639,175.85798783787385,8.072669870950822,4.123322249046842
Austria,2028,VNI,3483.5359175,12.0826675,9.251146,66031.0,1.79246252821732,2.3273895042127664,11.097894751992364,26.457248046003794,20.013937034069187,5.164114002804543,491974297.40073806,173.88244455553533,8.156090148617098,2.571288262545535
Austria,2029,VNI,3377.3223425,31.017185,9.268632,66898.02,1.5045462052945655,2.329093811562737,11.11093959727958,25.720180618265704,20.019267779752425,5.1533824969524265,494603889.885538,172.01572683944738,8.125134516882655,3.466272789900051
