,country,year,scenario,share_pu,Total_Heat_TJ_ML,COP,Demand_HP_TWh
443,Greece,2060,KVE,0.553203799660686,132668.86,4.3,4.741144751260097
444,Hungary,2025,KVE,0.018263317900996185,198604.5,3.5,0.2878712130103137
445,Hungary,2026,KVE,0.026456257367724518,215284.7,3.5,0.45203393910329687
446,Hungary,2027,KVE,0.03643061407801076,238275.83,3.5,0.6889313164554777
447,Hungary,2028,KVE,0.04847678599711655,236389.75,3.5,0.9094773915317013
448,Hungary,2029,KVE,0.0628850834509685,210856.9,3.5,1.0523614852220655
449,Hungary,2030,KVE,0.07992065785848151,210856.9,3.5,1.3374463002733095
450,Hungary,2035,KVE,0.20734066342989807,236066.69,3.5,3.884621013032924
451,Hungary,2040,KVE,0.36885842223982496,223535.16,3.5,6.543875271945036
452,Hungary,2045,KVE,0.4826673162062744,222307.84,3.5,8.515931416891684
453,Hungary,2050,KVE,0.5339745721420633,209923.11,3.5,8.89631805020013
454,Hungary,2055,KVE,0.5339745721420633,210644.06,3.5,8.926871156331888
455,Hungary,2060,KVE,0.5339745721420633,149158.03,3.5,6.321158770923292
456,Ireland,2025,KVE,0.04777296898089444,92350.06,4.0,0.3063775544066418
457,Ireland,2026,KVE,0.059200849872753786,119666.74,4.0,0.49197032249192574
458,Ireland,2027,KVE,0.07311353175219001,113000.1,4.0,0.5737386618070547
459,Ireland,2028,KVE,0.08991607477761454,113000.1,4.0,0.7055920727876256
460,Ireland,2029,KVE,0.11001341686414802,111761.164,4.0,0.8538352862585158
461,Ireland,2030,KVE,0.13377540315051897,116360.54,4.0,1.0809846008692863
462,Ireland,2035,KVE,0.31150656457598946,109484.16,4.0,2.3684051083370843
463,Ireland,2040,KVE,0.5367988076220608,109484.16,4.0,4.081317001623596
464,Ireland,2045,KVE,0.6955445776798733,109484.16,4.0,5.288271639140109
465,Ireland,2050,KVE,0.7671102485973076,109484.16,4.0,5.832390190263209
466,Ireland,2055,KVE,0.7671102485973076,109484.16,4.0,5.832390190263209
467,Ireland,2060,KVE,0.7671102485973076,115943.37,4.0,6.176482785350975
468,Italy,2025,KVE,0.05067213718326284,501846.66,4.0,1.7659474859784698
469,Italy,2026,KVE,0.06071879659222412,506145.56,4.0,2.1342048757996204
470,Italy,2027,KVE,0.07294993354846355,506145.56,4.0,2.5641170873983934
471,Italy,2028,KVE,0.08772165094544042,509162.22,4.0,3.1017051168811887
472,Italy,2029,KVE,0.10538994420815867,507510.53,4.0,3.714340625275173
473,Italy,2030,KVE,0.12627995744496412,464741.7,4.0,4.075524924808145
474,Italy,2035,KVE,0.2825297873213673,504707.25,4.0,9.902418788439943
475,Italy,2040,KVE,0.4805922675645035,484719.94,4.0,16.177267313951226
476,Italy,2045,KVE,0.6201513598823303,484719.94,4.0,20.874980729023726
477,Italy,2050,KVE,0.6830673044817743,431362.6,4.0,20.461783952768528
478,Italy,2055,KVE,0.6830673044817743,456382.97,4.0,21.648631113031467
479,Italy,2060,KVE,0.6830673044817743,456382.97,4.0,21.648631113031467
480,Latvia,2025,KVE,0.0030586548922214617,36026.875,3.3,0.009275570572695999
481,Latvia,2026,KVE,0.004669271336353508,35758.133,3.3,0.01405424439155908
482,Latvia,2027,KVE,0.006630089306810332,35809.766,3.3,0.019985011708025253
483,Latvia,2028,KVE,0.008998196951269855,35136.254,3.3,0.026613042219323566
484,Latvia,2029,KVE,0.011830665188751751,35053.547,3.3,0.03490797939137592
485,Latvia,2030,KVE,0.015179619051696888,35053.547,3.3,0.04478952117835064
486,Latvia,2035,KVE,0.04022859654239382,30182.11,3.3,0.10220403748303389
487,Latvia,2040,KVE,0.07198071181372813,30372.484,3.3,0.18402634493814707
488,Latvia,2045,KVE,0.09435393657087889,30205.72,3.3,0.23990140656649483
489,Latvia,2050,KVE,0.10444022006522921,29861.377,3.3,0.2625192743803914
490,Latvia,2055,KVE,0.10444022006522921,29962.049,3.3,0.263404283028412
491,Latvia,2060,KVE,0.10444022006522921,29962.049,3.3,0.263404283028412
492,Lithuania,2025,KVE,0.0853480463016755,56148.918,3.3,0.4033838831084967
493,Lithuania,2026,KVE,0.08678868404392628,56286.117,3.3,0.4111951239417771
494,Lithuania,2027,KVE,0.08854256429531412,56553.055,3.3,0.4214943146293346
495,Lithuania,2028,KVE,0.09066075032448973,56503.402,3.3,0.43119873065287845
496,Lithuania,2029,KVE,0.0931942899896966,56827.703,3.3,0.4457927348898296
497,Lithuania,2030,KVE,0.0961898072337884,56827.703,3.3,0.4601217224791011
498,Lithuania,2035,KVE,0.11859520518521395,36643.51,3.3,0.36580345506298473
499,Lithuania,2040,KVE,0.14699631571828858,36347.906,3.3,0.4497481719391316
500,Lithuania,2045,KVE,0.16700835031438427,36347.906,3.3,0.5109767539780548
501,Lithuania,2050,KVE,0.17603016350519193,36048.047,3.3,0.534136682398957
502,Lithuania,2055,KVE,0.17603016350519193,35420.113,3.3,0.5248323638625638
503,Lithuania,2060,KVE,0.17603016350519193,35420.113,3.3,0.5248323638625638
504,Luxembourg,2025,KVE,0.026037740824893383,17289.65,4.0,0.03126274058541853
505,Luxembourg,2026,KVE,0.039872419921986646,18189.396,4.0,0.05036495086622278
