,country,year,scenario,share_pu,panel_predictions,COP,Demand_HP_TWh
50,Czechia,2027,KKO,0.08086873905205154,218035.7180932911,3.455647534954388,1.4173476101367373
51,Czechia,2028,KKO,0.08543369964459244,211733.61784119808,3.4686315295519288,1.4486329644856737
52,Czechia,2029,KKO,0.0908938002080023,202159.0106839694,3.483052378236003,1.4654292598651777
53,Czechia,2030,KKO,0.09734952127556018,198298.20982583042,3.4988608882169636,1.5325810006523697
54,Czechia,2035,KKO,0.14563600664543175,187507.12289177792,3.5234504952849686,2.1528603402384214
55,Czechia,2040,KKO,0.20684401603747898,179932.73717796453,3.5480179842862922,2.913834188500929
56,Czechia,2045,KKO,0.24997249863978221,173942.7342435452,3.573382587181532,3.379998490247001
57,Czechia,2050,KKO,0.26941565477528534,163861.12919049515,3.5972249655940445,3.4090131077366075
58,Czechia,2055,KKO,0.26941565477528534,154297.11913704156,3.6180227182644007,3.1915882282878387
59,Czechia,2060,KKO,0.26941565477528534,149783.9838281372,3.6391459049029415,3.0802519123099787
60,Denmark,2025,KKO,0.10403778439909764,141993.1702625059,3.2548243729646957,1.2607485877664442
61,Denmark,2026,KKO,0.10600414034729697,136379.40639939925,3.269108111531202,1.2284000918790543
62,Denmark,2027,KKO,0.10839804740914973,133198.63412623553,3.2846105335701643,1.2210539380275693
63,Denmark,2028,KKO,0.11128920288544232,127985.99627389362,3.300956192192137,1.1985971030918712
64,Denmark,2029,KKO,0.11474728304298078,123590.99262541029,3.318341210772558,1.187150254998875
65,Denmark,2030,KKO,0.11883592585588588,120601.35749164855,3.336855055190427,1.1930540167608055
66,Denmark,2035,KKO,0.14941751221966246,113819.66626786126,3.3735089198423713,1.4003430667452321
67,Denmark,2040,KKO,0.18818276943479365,108842.03959728764,3.4084843110872214,1.6692167228866663
68,Denmark,2045,KKO,0.21549760515617594,104651.76702772432,3.441770105073491,1.8201394180370372
69,Denmark,2050,KKO,0.22781166268154068,97484.32234914163,3.473819235981069,1.7758284702991773
70,Denmark,2055,KKO,0.22781166268154068,92696.60932506752,3.502366668256737,1.6748491246948556
71,Denmark,2060,KKO,0.22781166268154068,89357.45105272069,3.5286905961552106,1.6024727195065327
72,Estonia,2025,KKO,0.0007250264325832257,30972.51849657926,3.151189097712382,0.0019794903780215307
73,Estonia,2026,KKO,0.0016135323358352077,29877.54312338837,3.1623564871501935,0.0042345691452970275
74,Estonia,2027,KKO,0.0026952289423120643,29355.84253869921,3.1745867478766017,0.006923098511184134
75,Estonia,2028,KKO,0.004001609259801191,28229.319524181352,3.1870286349011345,0.009845700541738037
76,Estonia,2029,KKO,0.005564156791800728,27388.683898726238,3.200209561176635,0.013227860431249482
77,Estonia,2030,KKO,0.007411626614790646,26381.886599945225,3.2144237415019647,0.016897161443830272
78,Estonia,2035,KKO,0.021230040335820283,25325.455751465393,3.240281882654611,0.04609170732994669
79,Estonia,2040,KKO,0.03874627889286618,24169.244370065153,3.2694961508677944,0.07956274196559318
80,Estonia,2045,KKO,0.05108859809861874,23228.36620281476,3.297331511388232,0.09997180559530017
81,Estonia,2050,KKO,0.056652754890419474,21752.334293798784,3.3198569858704032,0.10311100651205671
82,Estonia,2055,KKO,0.056652754890419474,20972.25163193519,3.3392755004189034,0.09883513080866191
83,Estonia,2060,KKO,0.056652754890419474,20155.49289903732,3.3593335452893713,0.09441887666693191
84,Finland,2025,KKO,0.1656007163550379,171309.05582477993,3.2142982665946325,2.451623963525671
85,Finland,2026,KKO,0.16555943878389487,165643.99098033103,3.2266308679867834,2.3609013814030813
86,Finland,2027,KKO,0.16550918609737292,162068.84414178328,3.2408745465171807,2.299095000836437
87,Finland,2028,KKO,0.16544849521586313,156237.78293183722,3.255453901181607,2.2056410621976053
88,Finland,2029,KKO,0.16537590350130005,151163.53028743458,3.270725839194802,2.1231105729700213
89,Finland,2030,KKO,0.16529007507092724,145699.66434992847,3.28687800999541,2.0352569271047005
90,Finland,2035,KKO,0.16464810909932706,139644.84748015174,3.3144017959704635,1.926965801107434
91,Finland,2040,KKO,0.16383435222888815,133571.98880430683,3.340418228269391,1.8197721534520612
92,Finland,2045,KKO,0.16326096159949466,127201.22494853116,3.3642542572912206,1.7146770389772044
93,Finland,2050,KKO,0.16300246598682183,121492.10339986812,3.387290543395156,1.6240046759101963
94,Finland,2055,KKO,0.16300246598682183,117230.22141371864,3.4092315368913737,1.5569503446288515
95,Finland,2060,KKO,0.16300246598682183,111666.75668049618,3.431514116521476,1.4734309444105134
96,France,2025,KKO,0.14969457110279147,1243508.5520771628,4.021646387482643,12.857260533979334
97,France,2026,KKO,0.1552498088520083,1223441.163483955,4.0357223073751065,13.073455306422497
98,France,2027,KKO,0.16201293985598514,1184956.0732665972,4.052840695716123,13.15800114342897
99,France,2028,KKO,0.17018086899183835,1156505.6791579153,4.071555930471319,13.427513600454288
100,France,2029,KKO,0.17995044171267105,1094081.4787582313,4.091961957310121,13.364985592226274
101,France,2030,KKO,0.1915014444281835,1071183.5812422761,4.114193563686601,13.849967049721625
102,France,2035,KKO,0.2778988147285908,1018258.161074475,4.157112619468857,18.90820504203613
103,France,2040,KKO,0.387416229638542,964348.4929782108,4.198918360286324,24.715641370141938
104,France,2045,KKO,0.4645845605564686,928386.6601967636,4.237956133018763,28.27057922210993
105,France,2050,KKO,0.49937354027988895,871883.7707207731,4.273893987110057,28.298138952605992
106,France,2055,KKO,0.49937354027988895,808865.7427373779,4.308008339589287,26.04491434720204
107,France,2060,KKO,0.49937354027988895,788008.8179168615,4.340986887977014,25.180574226412155
108,Germany,2025,KKO,0.04372039945512877,1849722.5510437156,3.7926933111436414,5.922982999323851
109,Germany,2026,KKO,0.05322541391916616,1812142.5881464086,3.8033803024459787,7.044321371512942
110,Germany,2027,KKO,0.0647971343237596,1761846.4106225814,3.8140736868785807,8.314425867871533
111,Germany,2028,KKO,0.07877246500847465,1723021.425928525,3.8257672632514566,9.854714945862984
112,Germany,2029,KKO,0.09548820863836188,1653586.3330891735,3.8386245619815242,11.426112127318184
113,Germany,2030,KKO,0.11525197984699465,1628895.6281842445,3.852839022489267,13.535000858136051
114,Germany,2035,KKO,0.263077922035687,1550001.1247113384,3.872922500067899,29.246581377563473
115,Germany,2040,KKO,0.45046227168477776,1491304.3653337986,3.898863360187308,47.861267511495065
116,Germany,2045,KKO,0.5824973230457973,1447886.5048292903,3.924411292568232,59.696852899408036
117,Germany,2050,KKO,0.6420212841052196,1366143.1833933746,3.94741128518189,61.72068910117184
118,Germany,2055,KKO,0.6420212841052196,1284446.8581895074,3.9681925446303143,57.72584901234984
119,Germany,2060,KKO,0.6420212841052196,1252337.42404014,3.9888460137258224,55.991359569254335
120,Greece,2025,KKO,0.06925341876354714,108646.16993461779,4.261891668840344,0.49040030474861457
121,Greece,2026,KKO,0.07606292625901556,107854.9410546089,4.277160203063629,0.5327887636904911
122,Greece,2027,KKO,0.08435304692413167,103569.78318538683,4.294068397830012,0.5651482445317924
123,Greece,2028,KKO,0.09436514310865388,101806.97565418795,4.311611792589454,0.6189377719473911
124,Greece,2029,KKO,0.10634050432148642,95853.41671537691,4.330112520650806,0.6538899025165631
125,Greece,2030,KKO,0.12049950941223116,92744.07761033779,4.348779262916967,0.7138411837542435
126,Greece,2035,KKO,0.2264038049992792,90657.35965107154,4.370474191441451,1.304534974487593
127,Greece,2040,KKO,0.3606482228585827,86882.10389487993,4.3874546984743565,1.983804995107153
128,Greece,2045,KKO,0.45523973298296794,84122.49903401491,4.403040729168732,2.4160010694684275
129,Greece,2050,KKO,0.4978834196946174,78477.32398114535,4.4188525886247625,2.456177986414998
130,Greece,2055,KKO,0.4978834196946174,76836.1736158961,4.434896233410214,2.3961137396791377
131,Greece,2060,KKO,0.4978834196946174,73578.96193998681,4.451177849080658,2.2861455271157447
132,Hungary,2025,KKO,0.01757995187602679,195102.0827017183,3.4089149006135355,0.27948655908328746
133,Hungary,2026,KKO,0.024935439465167953,191964.79325648223,3.4179938954903606,0.3890136394533464
134,Hungary,2027,KKO,0.033890254436048546,188638.3838263556,3.431739702378844,0.5174734309320186
135,Hungary,2028,KKO,0.0447051113512585,182570.83625598619,3.4451647246784525,0.6580760618765168
136,Hungary,2029,KKO,0.05764064609222041,172853.95399913003,3.4590922393523944,0.8000986079812705
137,Hungary,2030,KKO,0.07293490728348374,168944.76204951343,3.473864423078778,0.9852916470143538
138,Hungary,2035,KKO,0.1873305125964468,161161.94121323133,3.4940561298011352,2.4001513758858937
139,Hungary,2040,KKO,0.3323385253099511,154875.34718428334,3.508570454168584,4.075025012358421
140,Hungary,2045,KKO,0.4345142963508162,150815.82394355445,3.5229679659297495,5.167015760980799
141,Hungary,2050,KKO,0.48057711492785704,141966.70743185322,3.5388715476361594,5.355281396832377
142,Hungary,2055,KKO,0.48057711492785704,134091.76093877217,3.553676930990149,5.037148287921787
143,Hungary,2060,KKO,0.48057711492785704,129159.72736253572,3.5672829267427604,4.833371194037121
144,Ireland,2025,KKO,0.04679124230579397,88008.37473564479,4.046317293607487,0.2827002163245841
145,Ireland,2026,KKO,0.05701603610040243,85113.0755984441,4.074830855599562,0.33081197197755546
