country,year,scenario,total_floor_m2,thermal_index,ln_total_floor,ln_thermal_index,hist_method,share_0-1945,share_1946-1969,share_1970-1979,share_1980-1989,share_1990-1999,share_2000-2010,share_2011-2020,share_post-2020,share_ren_0-1945,share_ren_1946-1969,share_ren_1970-1979,share_ren_1980-1989,share_ren_1990-1999,share_ren_2000-2010
Slovenia,2027,VWE,67219554.84219928,163.11647387518144,18.023474772714845,5.100576382302851,,0.06667357763560934,0.3835021315431345,0.1066890649334474,0.07587491887529738,0.0716259131930079,0.12744898445268704,0.07295991488657023,0.06252406747114345,0.03270142700910263,0.0,0.0,0.0,0.0,0.0
Slovenia,2028,VWE,67579072.975015,161.07531150289205,18.028808936508046,5.088061113026771,,0.053119920073915076,0.3806989907622599,0.10601536162761903,0.07543353151995644,0.07124486602206061,0.12677096063699148,0.07257177087666186,0.06871472420617196,0.04542987427436363,0.0,0.0,0.0,0.0,0.0
Slovenia,2029,VWE,67892036.65594395,159.05194906187668,18.033429319908194,5.07549844417288,,0.038716426646237916,0.3781861846124619,0.10542113320765946,0.07504826071289279,0.07091644671670748,0.12618658125422363,0.07223723490361113,0.07420293830570579,0.05908479364049975,0.0,0.0,0.0,0.0,0.0
Slovenia,2030,VWE,68165259.02580306,157.03002475413527,18.03744560924782,5.062785045063,,0.023445558387599992,0.3759169848993617,0.10489358196231521,0.07471007593066088,0.07063219694034278,0.12568079579595012,0.07194769109794667,0.07910169098068755,0.07367142400513495,0.0,0.0,0.0,0.0,0.0
Slovenia,2035,VWE,69306659.1860855,153.503448862237,18.054051566123512,5.0402164188215774,,0.0079902589668289,0.36898661673916644,0.10306294042023285,0.0734429479300888,0.06946896671318166,0.12361097909795057,0.07076279621027569,0.09543372710697538,0.08724076681529981,0.0,0.0,0.0,0.0,0.0
Slovenia,2040,VWE,70290368.88944638,150.38530169715798,18.068145361472094,5.019828253709011,,0.0,0.35594982518521673,0.10151895986714457,0.07237891050384063,0.06849675248642619,0.12188105049604152,0.06977247491350629,0.10924024879981398,0.09361657818910438,0.007145199558905666,0.0,0.0,0.0,0.0
Slovenia,2045,VWE,71013354.85131997,147.8114474700827,18.078378527896984,5.002680051362482,,0.0,0.336621253236734,0.10038491137507011,0.07160620082825307,0.06779938801765407,0.12064018124389118,0.06906212233273809,0.11944215476865724,0.09238547872256539,0.022058309474436884,0.0,0.0,0.0,0.0
Slovenia,2050,VWE,71597461.85850745,145.496345120456,18.086570196365994,4.98700048016268,,0.0,0.31820727688265515,0.09946638440810535,0.07098651151546677,0.06724626648797755,0.11965597351663707,0.0684986991534987,0.12774740814337482,0.09135688340754343,0.03683459648474126,0.0,0.0,0.0,0.0
Slovenia,2055,VWE,72160308.74151322,143.24396052811971,18.094400726136165,4.971506036422425,,0.0,0.30009382511670785,0.09859186091738871,0.07039760378338503,0.06672174889448838,0.11872266276864528,0.06796441264640236,0.13566132075084586,0.09037237126739459,0.05147419385474212,0.0,0.0,0.0,0.0
Slovenia,2060,VWE,72854417.3578959,140.82667942740628,18.103973738840416,4.954605744689541,,0.0,0.28164026052851804,0.09755489044900884,0.06969203860786441,0.06608606827981435,0.1175915519015747,0.06731689275486977,0.14499365409663323,0.08924282910370604,0.0658818142780107,0.0,0.0,0.0,0.0
Spain,2010,HIST,3474054871.9163723,160.9761863520886,21.968588299953296,5.087449326600531,permits,0.14781716309002563,0.18535616469953775,0.138066529997903,0.1719975927723429,0.1749670348945001,0.18179551454569057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2011,HIST,3512072309.1616344,159.5975371385629,21.97947210196109,5.078901466018753,permits,0.14577842245543596,0.18298302411476858,0.1364354171286974,0.1700506874625387,0.17307305388171193,0.1798276166901476,0.011851778266699784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
