nuts0,country,year,tas_annual,hdd_annual,cdd_annual,tasmax_max,tasmax_mean,tasmax_min,tasmin_max,tasmin_mean,tasmin_min
BG,Bulgaria,2016,285.33171765662536,2082.915059885494,211.04201638275833,305.8049115508928,289.82362932609396,266.1653746788272,293.621529183838,281.1674672180793,259.4525395539298
BG,Bulgaria,2017,285.2893865375937,2023.9997206199257,205.3173232324673,310.1013179976393,289.80143096452855,263.9376703125935,296.95450192022463,281.24140501189197,255.65495208954258
BG,Bulgaria,2018,284.49950483026873,2036.3828321324545,94.51143928684463,305.6344421699692,288.6104655233868,268.33493506374225,293.5522118875218,280.8136772195041,262.1322643747648
BG,Bulgaria,2019,284.8637168158479,2131.5226753117536,179.80525028304393,306.20394871127246,289.11008932300507,268.9418168884819,294.74457921145586,281.01876832919703,261.8130006000469
BG,Bulgaria,2020,284.37240066653703,2362.586059516399,205.72187897984995,308.3797585421621,288.37298154314396,266.0300804255626,295.34855424050494,280.6704396313079,259.8091035338022
BG,Bulgaria,2021,284.0109986923879,2411.9728216684666,188.34840300818004,309.7085174296832,288.2071033117799,262.93945357177097,297.14255802412544,280.2014937753925,253.85112346778587
BG,Bulgaria,2022,285.18170629641344,2058.65038040325,215.31681212280677,308.9092473800735,289.8144459516793,273.2419353188618,295.473352527543,281.07834852188114,267.21714643306046
BG,Bulgaria,2023,284.51910551729816,2392.521800401018,251.82614083435197,308.99278949563586,289.0305397416571,262.86396608842506,295.21768769947215,280.39277482384955,254.2786242529581
BG,Bulgaria,2024,285.32846400827714,2238.8650800674827,351.1186013487577,311.97549934664687,289.77492421567183,270.0556116853389,297.3075465581509,281.25068132459774,262.9801251307587
BG,Bulgaria,2025,284.8754095248882,2362.44873343445,297.38033623335417,310.77957863667143,289.236978787156,265.15396319397576,296.1913944200902,280.8393604171017,258.7631303113091
BG,Bulgaria,2026,285.7078999696076,1995.5499848599234,274.15487828562755,308.92927175669433,290.02080137805126,267.74159148777363,296.2041687574832,281.7920211614357,261.3849069734829
BG,Bulgaria,2027,284.55086794550766,2436.782955415877,291.2745612276083,311.75852649033027,289.00560391119234,262.9446802851322,296.7375153705561,280.4129068816565,254.38892282935007
BG,Bulgaria,2028,284.4785434340988,2247.9557230986984,186.067302797835,306.4915234220697,288.6564474802088,266.6036771615397,294.52742213243954,280.62840045674994,260.4693347740946
BG,Bulgaria,2029,285.411561861713,2047.3531290858282,271.0538333132986,307.8539712628494,289.75948132717355,271.1157024118149,296.1479910032608,281.4985908607053,263.9222786061425
BG,Bulgaria,2030,286.72513717794425,1739.805880388758,310.0334471483517,307.89204610632714,291.415145556096,268.06955730036714,295.19089300068214,282.5098121800616,261.74772907411847
BG,Bulgaria,2031,285.7710625909906,1999.0270750377586,308.04499120267064,309.7293271328378,290.26926396946396,268.0597846957534,296.723817436007,281.7223206139487,259.88415553374153
BG,Bulgaria,2032,284.4111713875218,2287.173836041316,176.03341645786648,306.19018329287877,288.5466971710464,265.8061352250469,294.7552407208985,280.5906846561134,256.84418792445416
BG,Bulgaria,2033,285.00831887750184,2092.1036615310923,176.45126782986256,305.58090607046967,289.1875054137723,264.51220090303383,294.4392422691488,281.2176501465976,256.41138206742255
BG,Bulgaria,2034,285.16052191143217,2165.528438359844,241.06413653183571,308.1590430309231,289.5136860425191,268.4844432739283,295.9536195605788,281.22004533428543,261.37675455445026
BG,Bulgaria,2035,284.4502771000854,2351.674990376315,244.9123337638824,309.2156971454179,288.7101999237174,267.94761079085555,296.61616633935637,280.585945665784,260.58052417022367
BG,Bulgaria,2036,285.7947089502546,2083.3822429073666,361.2227060477933,310.13797228469485,290.3407187419796,268.5479709443369,296.58253450985245,281.679680928231,260.9049163331194
BG,Bulgaria,2037,286.20434223095765,1907.9732635436076,337.41208989997034,310.20859667460195,290.73635189909174,270.9318334756085,297.12729035859684,282.13401056007154,264.3209757178652
BG,Bulgaria,2038,285.19692216888234,2160.918890239571,266.8185318871163,309.55866964143655,289.6058525504925,269.91224487041404,297.031448263367,281.19094642341975,262.4787601766508
BG,Bulgaria,2039,286.4318415352245,1769.672720995421,256.57079905561244,308.0259722538642,290.9230449362276,271.1681483401018,295.4607681296135,282.41739516266705,264.08479217018015
BG,Bulgaria,2040,285.90228074147313,1934.0974090197408,278.3788374782698,311.6681864512954,290.36770820453074,266.33942821531986,296.7575435756298,281.79188655008346,258.39283482503066
BG,Bulgaria,2041,286.03060767732796,2021.2639511919062,368.36397452784155,313.3824402037587,290.45845848487966,269.39282317774297,297.9792175693401,281.9581769308778,262.70184881956334
BG,Bulgaria,2042,285.8577445214072,2001.5382246536167,318.27424156754705,309.9249587301159,290.27066060828764,271.13095206624985,296.76308076220886,281.81451815107533,264.7933757491674
BG,Bulgaria,2043,285.11281792008384,2156.5910246910826,227.11324862977224,306.82707861870136,289.460926758224,268.28139461791983,295.1022193443213,281.0827196299555,260.8357256440968
BG,Bulgaria,2044,285.19457304324334,2236.540495586967,319.24402183782956,312.90834088284714,289.42054895915874,266.1759953559383,297.8641926990158,281.2793936544492,256.1180504162787
BG,Bulgaria,2045,285.13378161406786,2106.5367425264503,240.49232095984078,310.2331640160065,289.3919313721964,267.0635370273421,296.5337180546943,281.28673805207694,258.94910503033003
BG,Bulgaria,2046,285.05384982975136,2308.600813096215,332.679613213638,311.3192229206009,289.4299483241044,264.8555913194929,297.23011259126514,281.0504133077533,257.6458619698446
BG,Bulgaria,2047,285.4053417446018,2029.2199549500006,235.54174596839852,308.5666051478454,289.72525048179375,261.22901583475453,296.2384978561072,281.51154819490506,251.9184441322624
BG,Bulgaria,2048,285.81522825172374,2072.818475965989,325.3901758429601,309.97811702507204,290.1508479412065,267.68036162809886,296.81667132957864,281.8310331453784,259.6466968952202
BG,Bulgaria,2049,285.2505582858306,2133.3855428954435,279.06006032008486,308.4985433843775,289.6283778442113,268.44882563010805,296.68824440940966,281.2534006145566,260.1170401506977
BG,Bulgaria,2050,286.75685315118454,1811.8936277449066,393.83307094104936,311.43027413877786,291.34610768526284,265.7141022675921,298.42881260201943,282.6503938862981,257.5106030914909
BG,Bulgaria,2051,285.2335472365931,2051.3473611176964,218.53383791695018,307.0744701809224,289.4417399734598,269.54302080992187,294.79254524479325,281.4169827187617,262.55664298342487
BG,Bulgaria,2052,285.07103127633394,2099.101564408073,221.59308057316096,308.0364259027064,289.2190850512856,263.475346702482,295.50137363775616,281.33592696625084,256.14417446367327
BG,Bulgaria,2053,285.1771201773495,2154.9025685971155,265.81899918162657,312.0167277724132,289.4968082585011,271.00352271419405,297.332775457021,281.27565451261756,265.5117627658285
BG,Bulgaria,2054,285.80620110226704,2056.4586908592155,333.83445647544835,313.47541873619036,290.4084582162123,261.4445688861692,298.149219038163,281.6619637865687,253.66574708727245
BG,Bulgaria,2055,286.0014119689513,2199.663366535155,458.37722372202285,312.8398545468199,290.7464224974002,264.5286701735784,299.16154819166167,281.64621187322626,256.57745172709366
BG,Bulgaria,2056,285.24673890572933,2231.4274727614315,349.7749203923177,312.2898351080879,289.73519787419497,268.8717088866314,297.9546568642355,281.1038268844072,260.70449855888353
BG,Bulgaria,2057,285.3844636144256,2199.534283665136,342.914921051386,309.1950624093156,289.6454210684435,267.5757209615843,296.90545847115277,281.44995283819395,260.40689649234537
BG,Bulgaria,2058,286.6866766517937,1854.7513966366546,396.82587061428086,310.299509988943,291.1777839310627,267.27120753077395,297.38568511027046,282.5751893021016,260.8512022341368
BG,Bulgaria,2059,284.58357076298034,2366.3827394491987,267.10567050327376,308.56316787502595,288.8475775467332,263.62255642499434,295.2312329695469,280.62155978156045,256.8715762153278
BG,Bulgaria,2060,285.65431093195235,2137.3923320603176,360.0212309771155,309.32638855946885,289.96014619355105,261.319309696299,297.2807102567535,281.691967591182,254.8659764975151
BG,Bulgaria,2061,285.14927942824335,2121.466225320357,239.73864028579527,309.4836170343087,289.5245499127691,268.5155429295687,296.4372330675567,281.20915558185413,261.32606879442767
BG,Bulgaria,2062,285.43103605471237,2182.726348433434,360.6325350584098,310.4773313883824,289.81418241436205,262.0526160415459,298.88318419898974,281.49811464447066,253.64426724007262
BG,Bulgaria,2063,286.75343287897095,1719.272829551131,340.2546754956548,311.85369951437974,291.0734032770147,273.56209355526596,299.680278342869,282.8435991627027,267.7022806343123
BG,Bulgaria,2064,286.0946588540137,2004.258728230462,346.85353025683276,311.8384723992709,290.5804223611513,260.43759649466676,298.17287928080793,281.95390470551155,252.10456505705318
BG,Bulgaria,2065,286.9230219390563,1651.9915054197236,329.9691935959887,309.44214467172736,291.58872875007876,269.98208421980195,296.855510557995,282.81586503707325,264.083521274981
BG,Bulgaria,2066,285.25039870880767,2173.310238875374,277.1849204534052,307.92826124358686,289.5738429071538,263.75482643622735,295.344196792231,281.28826202173025,254.68595922455472
BG,Bulgaria,2067,286.1387095918459,1972.3666685871174,377.7062575316048,312.41908278366316,290.76772666564165,270.1716798525129,298.1519041623168,281.909540061764,262.426026534037
BG,Bulgaria,2068,285.49737141456063,1953.370660710486,200.06281892554725,307.9702911849255,289.92811722864786,268.6105220757378,295.3492684431162,281.4381020367045,261.5116869577744
BG,Bulgaria,2069,285.13760051018886,2265.928866371744,330.28007115721607,311.1383219872996,289.4196485853687,265.36704138839,298.9951368297481,281.1499407834529,258.3321066035609
BG,Bulgaria,2070,283.84778872911124,2503.7140489317912,194.89413982653278,310.4525407401511,287.69689543384794,265.4488316963865,297.3182348458039,280.2559733524418,258.41235698165286
BG,Bulgaria,2071,285.1439811058989,2233.794376378812,325.2462876823078,310.9306761687214,289.56297328120456,267.2052267687485,297.30519387773506,281.1357109784168,260.69555509051736
BG,Bulgaria,2072,286.0532294832991,2088.8041080131516,375.9210069962912,309.91947730998476,290.369732047397,270.2763539880488,296.3012009874929,282.14815465308527,263.6885790937698
BG,Bulgaria,2073,284.2449038011284,2402.609478492485,213.73291320681923,307.9356389330895,288.38151774597924,266.4209186762515,295.9666078369376,280.3589696847971,257.8238246532206
BG,Bulgaria,2074,285.95431991368673,2037.7352399509994,353.4606322059029,310.6035782457304,290.46826630053164,265.2451777488242,297.02377728978587,281.84047980278956,258.8079791067748
BG,Bulgaria,2075,285.7473460137419,2121.9718430295875,328.1147741096509,308.45685805823,290.239235068432,265.3282778207591,295.61546376491793,281.61467946618643,258.44925121920505
BG,Bulgaria,2076,285.1760307801291,2140.8259256586757,255.11131039686532,308.30284505425703,289.46015079910717,269.6512777941723,295.4946127090368,281.2973834557371,263.75995276544086
BG,Bulgaria,2077,286.3930836348813,2119.9018365083575,461.53516957228425,314.06046550582994,291.2707625006325,260.3333472044454,299.07434383561,281.92522370596924,251.1145586475426
BG,Bulgaria,2078,285.7440246067913,2070.2692879816686,318.6155787668568,308.68698708740175,290.34602584479154,267.2909571524031,296.436127017702,281.5936260860928,260.9673980266769
BG,Bulgaria,2079,284.70665812648105,2266.8705330856837,237.16345597984397,307.59076910807977,288.8530987564439,264.74038128532027,295.18810145522457,280.90502677742023,256.7525642062597
BG,Bulgaria,2080,284.9030869906515,2414.7578024965783,339.5152876337136,311.9682659806427,289.2528769233312,263.51620710085786,297.56261085200634,280.8716695898765,255.00752960694675
BG,Bulgaria,2081,285.1944281454836,2156.8748460947377,286.67514021245387,310.65214440491536,289.50562616435093,267.88081024389385,297.6361986495576,281.246156018533,260.28748882773687
