scenario,ssp,sp_code,nuts0,country,year,hdd_annual,cdd_annual,tas_annual
VNI,SSP3,SP370,PT,Portugal,2027,748.880305,298.53561291666665,16.3076494086758
VNI,SSP3,SP370,PT,Portugal,2028,952.56838875,187.5854075,14.992832439663022
VNI,SSP3,SP370,PT,Portugal,2029,879.7416375,304.204025,15.921276438356164
VNI,SSP3,SP370,PT,Portugal,2030,776.8060791666667,451.3088525,16.718911606164383
VNI,SSP3,SP370,PT,Portugal,2035,655.19529125,460.58530375,17.224045487442922
VNI,SSP3,SP370,PT,Portugal,2040,838.4896466666667,366.52702958333333,16.476766823770493
VNI,SSP3,SP370,PT,Portugal,2045,909.0278441666667,334.21063833333335,15.926111221461186
VNI,SSP3,SP370,PT,Portugal,2050,691.8072033333333,557.93630875,17.522236728310503
VNI,SSP3,SP370,PT,Portugal,2055,815.23482375,343.4700383333333,16.308516974885844
VNI,SSP3,SP370,PT,Portugal,2060,798.94925,295.400955,16.02442640596539
VNI,SSP3,SP370,RO,Romania,2025,2696.64869,107.401565,9.679381946347032
VNI,SSP3,SP370,RO,Romania,2026,2221.2723870833333,164.33009750000002,11.39962006392694
VNI,SSP3,SP370,RO,Romania,2027,2577.540770833333,268.09014874999997,10.758972051369863
VNI,SSP3,SP370,RO,Romania,2028,2644.352441666667,102.920655,9.829086305783242
VNI,SSP3,SP370,RO,Romania,2029,2432.4649283333333,189.8921375,10.812543311643836
VNI,SSP3,SP370,RO,Romania,2030,2384.1669295833335,250.935425,11.385313729452056
VNI,SSP3,SP370,RO,Romania,2035,2377.1938575,96.89755249999999,10.58670259589041
VNI,SSP3,SP370,RO,Romania,2040,2601.0607945833335,173.521635,10.387600898224044
VNI,SSP3,SP370,RO,Romania,2045,2132.2974983333334,115.691505,11.509442590182648
VNI,SSP3,SP370,RO,Romania,2050,2388.32676125,203.72520375,11.286237410958906
VNI,SSP3,SP370,RO,Romania,2055,1948.3892079166667,337.70137875,13.027660441780823
VNI,SSP3,SP370,RO,Romania,2060,2441.06559625,116.4754425,10.505091201047358
VNI,SSP3,SP370,SK,Slovakia,2025,3023.859075,111.5547625,8.63560294178082
VNI,SSP3,SP370,SK,Slovakia,2026,2499.385208333333,103.98503,10.12085772716895
VNI,SSP3,SP370,SK,Slovakia,2027,2814.5325225,93.6939775,9.081788224885845
VNI,SSP3,SP370,SK,Slovakia,2028,2925.8703125,42.8093175,8.476764112021858
VNI,SSP3,SP370,SK,Slovakia,2029,2853.60380625,65.83525,8.730501116438356
VNI,SSP3,SP370,SK,Slovakia,2030,2573.628625,147.73157375,10.09716315410959
VNI,SSP3,SP370,SK,Slovakia,2035,2692.6174375,52.71647,9.201697998858448
VNI,SSP3,SP370,SK,Slovakia,2040,2828.33815625,80.98423000000001,9.032211969489982
VNI,SSP3,SP370,SK,Slovakia,2045,2408.8531416666665,44.42176,10.039389963470319
VNI,SSP3,SP370,SK,Slovakia,2050,2453.9806775,173.6497075,10.898443498858448
VNI,SSP3,SP370,SK,Slovakia,2055,2127.1206016666665,224.4207825,11.965401868721461
VNI,SSP3,SP370,SK,Slovakia,2060,2737.4306466666667,31.242440000000002,8.829297369080146
VNI,SSP3,SP370,SI,Slovenia,2025,2623.12428125,93.5652025,9.671754916666666
VNI,SSP3,SP370,SI,Slovenia,2026,2142.890605,149.4493925,11.471009730593607
VNI,SSP3,SP370,SI,Slovenia,2027,2268.8917975,220.91890166666667,11.3345706369863
VNI,SSP3,SP370,SI,Slovenia,2028,2492.234355,59.6687375,9.830162867714025
VNI,SSP3,SP370,SI,Slovenia,2029,2417.9730795833334,97.55141,10.229232220319634
VNI,SSP3,SP370,SI,Slovenia,2030,2130.5080975,298.82278041666666,12.30725528652968
VNI,SSP3,SP370,SI,Slovenia,2035,2249.7045245833333,92.6458425,10.797480886986301
VNI,SSP3,SP370,SI,Slovenia,2040,2340.94577875,136.72038541666666,10.858967786885245
VNI,SSP3,SP370,SI,Slovenia,2045,2115.978495,66.8770725,11.053786255707763
VNI,SSP3,SP370,SI,Slovenia,2050,2134.0584166666667,213.57106541666667,11.993082234018265
VNI,SSP3,SP370,SI,Slovenia,2055,1827.1824895833333,276.03712916666666,13.135349920091326
VNI,SSP3,SP370,SI,Slovenia,2060,2374.386574583333,63.074169999999995,10.125257440801457
VNI,SSP3,SP370,ES,Spain,2025,1365.83089125,252.5223425,14.358066996575344
VNI,SSP3,SP370,ES,Spain,2026,1098.2410983333334,394.5520379166667,15.807152771689498
VNI,SSP3,SP370,ES,Spain,2027,1110.9090604166665,342.5126575,15.520658484018265
VNI,SSP3,SP370,ES,Spain,2028,1338.5848725,169.99194749999998,13.894750299408015
VNI,SSP3,SP370,ES,Spain,2029,1222.74845125,277.8719825,14.982700638127854
VNI,SSP3,SP370,ES,Spain,2030,1160.52449125,506.50268166666666,15.965492182648402
VNI,SSP3,SP370,ES,Spain,2035,1060.3846408333334,431.439335,16.14601156849315
VNI,SSP3,SP370,ES,Spain,2040,1282.4782208333334,367.2601275,15.223639201958107
VNI,SSP3,SP370,ES,Spain,2045,1222.7529841666667,377.66656,15.34405002739726
VNI,SSP3,SP370,ES,Spain,2050,1131.75015375,484.8666675,16.062368624429222
VNI,SSP3,SP370,ES,Spain,2055,1185.8436525,387.0511,15.501876347031963
VNI,SSP3,SP370,ES,Spain,2060,1218.4953820833334,355.41895,15.081022994080147
VNI,SSP3,SP370,SE,Sweden,2025,4317.488139166667,4.187412500000001,4.023017930365297
VNI,SSP3,SP370,SE,Sweden,2026,3762.144964166667,2.7859249999999998,5.513886341324201
VNI,SSP3,SP370,SE,Sweden,2027,4058.3983408333334,1.0989525000000002,4.631630176940639
VNI,SSP3,SP370,SE,Sweden,2028,4451.672544583334,1.6890299999999998,3.6150101229508196
VNI,SSP3,SP370,SE,Sweden,2029,3991.432981666667,6.114655000000001,4.929278636986301
VNI,SSP3,SP370,SE,Sweden,2030,4068.4198883333333,0.9656625000000005,4.62498544063927
VNI,SSP3,SP370,SE,Sweden,2035,3858.2748345833334,4.238277500000001,5.320919982876712
VNI,SSP3,SP370,SE,Sweden,2040,3988.8832870833335,1.2116799999999994,4.918258982240437
VNI,SSP3,SP370,SE,Sweden,2045,3630.38357375,4.767735,5.9138407751141555
VNI,SSP3,SP370,SE,Sweden,2050,3302.6300858333334,27.1166875,7.184759841324201
VNI,SSP3,SP370,SE,Sweden,2055,3172.0785958333336,6.1909425,7.169861414383562
VNI,SSP3,SP370,SE,Sweden,2060,3527.0309125,3.463732499999999,6.270389127959928
VWE,SSP5,SP585,AT,Austria,2025,3466.1973158333335,8.4502725,6.360230142694064
VWE,SSP5,SP585,AT,Austria,2026,3100.653857083333,24.83611,7.6644331552511415
VWE,SSP5,SP585,AT,Austria,2027,2961.7531029166666,32.9567275,8.068301070776256
VWE,SSP5,SP585,AT,Austria,2028,3433.2764283333336,26.31085,6.735707811930783
VWE,SSP5,SP585,AT,Austria,2029,3242.209065833333,62.010852500000006,7.629013399543379
VWE,SSP5,SP585,AT,Austria,2030,2939.1368525,47.779905,8.28302178196347
VWE,SSP5,SP585,AT,Austria,2035,3089.316170833333,36.0066625,7.819833113013699
VWE,SSP5,SP585,AT,Austria,2040,3084.661974166667,67.38057500000001,8.159920802595629
VWE,SSP5,SP585,AT,Austria,2045,3315.6588354166665,42.436975,7.249741689497717
VWE,SSP5,SP585,AT,Austria,2050,3008.7162383333334,73.99586500000001,8.314805644977168
VWE,SSP5,SP585,AT,Austria,2055,3329.5008620833332,31.0254075,7.050191015981735
VWE,SSP5,SP585,AT,Austria,2060,2852.585702916667,65.25934,8.743766484517304
VWE,SSP5,SP585,BE,Belgium,2025,2178.0628816666667,9.7316575,10.154021918949772
VWE,SSP5,SP585,BE,Belgium,2026,1933.46116,46.894127499999996,11.431106076484019
VWE,SSP5,SP585,BE,Belgium,2027,1918.9118279166667,50.100975,11.266452265981735
VWE,SSP5,SP585,BE,Belgium,2028,2268.7633054166668,29.742342499999996,10.015727106102004
VWE,SSP5,SP585,BE,Belgium,2029,2093.366504583333,57.844025,10.884693852739726
VWE,SSP5,SP585,BE,Belgium,2030,1988.2401041666667,37.9024175,11.126279659817351
VWE,SSP5,SP585,BE,Belgium,2035,2031.5063791666666,67.944425,11.204843737442923
VWE,SSP5,SP585,BE,Belgium,2040,1959.3528125,47.7286725,11.25268739298725
VWE,SSP5,SP585,BE,Belgium,2045,2239.88311375,99.1172175,10.674776154109589
VWE,SSP5,SP585,BE,Belgium,2050,2058.658355,46.484215,10.718195324200913
VWE,SSP5,SP585,BE,Belgium,2055,2178.394262083333,37.88581249999999,10.39429700456621
VWE,SSP5,SP585,BE,Belgium,2060,1883.4496683333334,100.885605,11.720023950364299
VWE,SSP5,SP585,BG,Bulgaria,2025,2187.2462825,220.02174,11.788896367579909
VWE,SSP5,SP585,BG,Bulgaria,2026,2000.0991270833333,186.31719,12.252341439497718
VWE,SSP5,SP585,BG,Bulgaria,2027,1936.6167420833333,231.5796375,12.603938555936073
VWE,SSP5,SP585,BG,Bulgaria,2028,2140.9475716666666,205.21087500000002,11.884397016165757
VWE,SSP5,SP585,BG,Bulgaria,2029,1924.4136854166666,284.58801666666665,12.8290913869863
VWE,SSP5,SP585,BG,Bulgaria,2030,1847.7717625,241.5718375,12.808505599315067
VWE,SSP5,SP585,BG,Bulgaria,2035,2048.6021645833334,160.7363975,11.965229331050228
VWE,SSP5,SP585,BG,Bulgaria,2040,2224.406535416667,294.14688,12.165772032103826
VWE,SSP5,SP585,BG,Bulgaria,2045,1965.78187875,240.49401999999998,12.526085776255709
VWE,SSP5,SP585,BG,Bulgaria,2050,1867.4857395833333,526.7266858333334,14.287250600456622
VWE,SSP5,SP585,BG,Bulgaria,2055,2072.5124525,396.008605,13.174931277397262
VWE,SSP5,SP585,BG,Bulgaria,2060,1644.11089625,377.32469875,14.26474193647541
VWE,SSP5,SP585,HR,Croatia,2025,1924.8440054166667,158.8267925,12.255056066210045
VWE,SSP5,SP585,HR,Croatia,2026,1723.0733283333334,202.7884325,13.15880854109589
VWE,SSP5,SP585,HR,Croatia,2027,1505.4842504166668,246.06495291666667,13.855132221461187
VWE,SSP5,SP585,HR,Croatia,2028,1939.7921566666666,207.44498416666667,12.422325175318761
VWE,SSP5,SP585,HR,Croatia,2029,1795.3206204166665,320.87459583333333,13.323210984018266
VWE,SSP5,SP585,HR,Croatia,2030,1461.7037995833334,292.52124125,14.184302285388128
VWE,SSP5,SP585,HR,Croatia,2035,1732.6692070833333,255.81311708333334,13.408848205479451
VWE,SSP5,SP585,HR,Croatia,2040,1796.7081249999999,415.63662666666664,13.984453892304188
VWE,SSP5,SP585,HR,Croatia,2045,1778.3010829166667,219.04292125,12.924622375570777
VWE,SSP5,SP585,HR,Croatia,2050,1652.9137458333335,419.70276958333335,14.291852360730594
VWE,SSP5,SP585,HR,Croatia,2055,1779.6032416666667,274.17404833333336,13.23491647716895
VWE,SSP5,SP585,HR,Croatia,2060,1429.4750483333332,348.92329083333334,14.625387512522769
VWE,SSP5,SP585,CZ,Czechia,2025,2910.574542916667,21.43049,8.189847058219177
VWE,SSP5,SP585,CZ,Czechia,2026,2659.9208329166668,49.537580000000005,9.30252051369863
VWE,SSP5,SP585,CZ,Czechia,2027,2440.8720925,56.5888475,9.788069456621004
VWE,SSP5,SP585,CZ,Czechia,2028,2849.9914233333334,43.930497499999994,8.643820765027321
VWE,SSP5,SP585,CZ,Czechia,2029,2738.2457670833332,101.503675,9.41644490981735
VWE,SSP5,SP585,CZ,Czechia,2030,2446.3976625,90.3956925,10.048967398401826
VWE,SSP5,SP585,CZ,Czechia,2035,2606.0446829166667,71.495135,9.585044760273972
VWE,SSP5,SP585,CZ,Czechia,2040,2615.224565,116.28209,9.850150630692168
VWE,SSP5,SP585,CZ,Czechia,2045,2798.2393825,116.36712,9.23197444977169
VWE,SSP5,SP585,CZ,Czechia,2050,2692.8545995833333,92.039815,9.366869388127855
VWE,SSP5,SP585,CZ,Czechia,2055,2852.0777008333334,39.0717925,8.565358654109588
VWE,SSP5,SP585,CZ,Czechia,2060,2464.3725295833333,100.71359749999999,10.115300236794171
VWE,SSP5,SP585,DK,Denmark,2025,2573.572056666667,3.834229999999998,8.962755680365298
VWE,SSP5,SP585,DK,Denmark,2026,2353.4429525,5.366865000000001,9.580158414383563
VWE,SSP5,SP585,DK,Denmark,2027,2247.8506345833334,1.9499049999999993,9.805153126712328
VWE,SSP5,SP585,DK,Denmark,2028,2389.5040566666667,3.1035975000000002,9.409570147996357
VWE,SSP5,SP585,DK,Denmark,2029,2402.635207083333,10.0965375,9.55326520890411
VWE,SSP5,SP585,DK,Denmark,2030,2366.4051579166667,1.7670875000000006,9.53857296347032
VWE,SSP5,SP585,DK,Denmark,2035,2277.914153333333,16.651834999999995,10.060616142694064
VWE,SSP5,SP585,DK,Denmark,2040,2180.744006666667,9.509165,10.280784049408014
VWE,SSP5,SP585,DK,Denmark,2045,2513.7052979166665,13.2363875,9.333194431506849
VWE,SSP5,SP585,DK,Denmark,2050,2309.4767645833335,3.151905,9.589417167808218
VWE,SSP5,SP585,DK,Denmark,2055,2318.9570166666667,7.708152499999999,9.759146735159817
VWE,SSP5,SP585,DK,Denmark,2060,2516.2186695833334,6.0928700000000005,9.13051720856102
VWE,SSP5,SP585,EE,Estonia,2025,3687.5466504166666,24.491257500000003,6.2783702842465745
VWE,SSP5,SP585,EE,Estonia,2026,3396.756385,23.7969325,7.1496679121004565
VWE,SSP5,SP585,EE,Estonia,2027,3150.3044254166666,19.946997500000002,7.548722863013698
VWE,SSP5,SP585,EE,Estonia,2028,3205.7068033333335,29.445124999999997,7.680206571038251
VWE,SSP5,SP585,EE,Estonia,2029,3207.142517083333,18.041729999999998,7.509959576484018
VWE,SSP5,SP585,EE,Estonia,2030,3469.50237625,6.796387500000001,6.635621431506849
VWE,SSP5,SP585,EE,Estonia,2035,3059.8749041666665,34.0223275,8.204349015981736
VWE,SSP5,SP585,EE,Estonia,2040,3069.4170070833334,63.031577500000004,8.398560216302368
VWE,SSP5,SP585,EE,Estonia,2045,3458.09836875,25.5615175,6.900202339041096
VWE,SSP5,SP585,EE,Estonia,2050,2880.7131916666667,6.155912499999999,8.21042243607306
VWE,SSP5,SP585,EE,Estonia,2055,3285.7764316666667,15.438649999999999,7.2924879041095885
VWE,SSP5,SP585,EE,Estonia,2060,3479.2019520833333,12.8883625,6.6828395457650265
