nuts0,country,year,month,tas,hdd,cdd,tasmax_max,tasmax_mean,tasmax_min,tasmin_max,tasmin_mean,tasmin_min
PT,Portugal,1991,7,295.5838726818353,5.1750063135592494,85.75213371172829,308.4955989090562,301.850421667498,293.57457527995325,295.78911857235465,290.0906602618119,285.21790559117227
PT,Portugal,1991,8,295.78734324987846,3.3564842377418627,83.624903094447,308.80901182003186,302.12157983067806,297.0329223300896,295.4046261829069,290.30523161163075,286.55968928042165
PT,Portugal,1991,9,292.54163570041544,11.586123853061123,34.015076437128364,304.5181830900592,298.1236034511811,291.0032476255908,291.85040180403706,288.03494643596383,284.6575607749096
PT,Portugal,1991,10,289.253926984079,46.75346075902201,11.881826349232256,301.8254618029847,293.7938577456068,287.15112449991585,290.6253888580913,285.64482518528945,280.1110286181212
PT,Portugal,1991,11,286.0129571037363,87.33775645683264,0.20718858241324198,294.28008495574346,289.8212050570804,286.0191971193445,287.8269054921709,283.17918916011257,277.0223270666865
PT,Portugal,1991,12,284.57561724933805,132.80106033485384,0.00406437370318683,292.26028359573115,287.03692033243226,280.9699038377223,287.17360987143473,282.47866061045664,274.4737567538694
PT,Portugal,1992,1,281.51213383111997,221.39864894431804,0.0,287.98875446154705,284.7853719953616,281.2454457864473,284.2606841934353,279.0015321719927,273.8448730162921
PT,Portugal,1992,2,282.44676552383294,178.45807388549497,0.0,289.66491513103534,286.1026917194348,282.7348163051242,283.3336162101855,279.39974824115694,275.9203012077919
PT,Portugal,1992,3,284.1392730432453,144.3186271882033,1.0534827138549183,296.27205201651327,289.4577570575033,282.23108886456373,283.8441035267475,279.8920373322865,274.6899964130753
PT,Portugal,1992,4,286.0045887039652,100.12997589736395,3.0501519716429497,299.63248882528814,290.12264467032395,285.21165463492366,288.10891560666107,282.3394587906105,278.6440004585199
PT,Portugal,1992,5,288.46158563536204,52.154184462691205,5.066964829649344,298.3219931801107,293.27127812495127,287.66817357565657,288.30088450569053,284.113666832724,278.86101523556306
PT,Portugal,1992,6,290.394926790489,25.323220669684204,11.79906457953556,299.4725407901536,295.1314592065222,289.99766694037964,289.0599677943118,286.2059689187745,280.95984519412053
PT,Portugal,1992,7,293.31806002181423,13.599570754396488,51.58441456603416,306.96682623551663,298.8231093041624,290.66965013812046,295.10658072173186,288.4398299897574,284.1623692391683
PT,Portugal,1992,8,294.1908432985267,8.370196895669629,59.311955818311304,306.3964998068997,300.2928621941552,294.6494078770033,292.88207398859345,288.942127239346,284.283184960342
PT,Portugal,1992,9,293.2007170315633,9.421806700671738,43.584556765686926,304.69425986680255,299.21017934947,293.3741135414592,291.4902641195424,288.3545344015021,284.92420116495686
PT,Portugal,1992,10,289.27961453778636,41.58603329379851,9.480385546170446,300.06819232734034,294.2500260230225,287.4375285062178,290.10670695825377,285.6210141262418,279.7032274832503
PT,Portugal,1992,11,285.94694231652664,91.25104877055153,0.43531234916995815,294.15965434909555,290.25055409768277,285.4284349158817,287.0282247683701,282.9332680280403,276.4801823650133
PT,Portugal,1992,12,283.5851390445791,156.66402961466227,0.0,290.69285907305476,287.0396642002868,284.506681708455,286.44424198935155,281.0702067027457,275.1772134864316
PT,Portugal,1993,1,283.60506810942724,156.08698375786415,0.0,289.9990879824112,286.4531666639362,282.5387288874102,285.7698550426153,281.06886068856966,276.5481464632501
PT,Portugal,1993,2,281.8897375707801,189.235449653469,0.0,288.4289557765531,285.128615415036,279.77877045153,284.7605778516028,279.03694804582375,272.40316532053856
PT,Portugal,1993,3,282.9621395900454,176.101651083151,0.12590416825531417,294.0933031755192,287.4149929062188,281.80677178780184,284.78556489719756,279.25119886840594,272.18217668277254
PT,Portugal,1993,4,285.7832732164432,102.94385209581561,1.8833343975428565,296.528807471405,289.70629303335164,283.9904840904509,286.5641485434059,282.2775506550112,277.8436185302835
PT,Portugal,1993,5,288.3373749865004,58.74947401764568,6.546150198083441,299.741487513747,292.41222751871345,285.40129392306,288.59734077627974,284.61927841482964,279.18318547466436
PT,Portugal,1993,6,289.86065850512307,29.33039259771676,12.091826853959052,300.99923457645076,294.0564777090549,289.04409855904936,290.6605575331168,286.14445191296977,282.96567784539695
PT,Portugal,1993,7,293.8485834350881,6.847745802670912,51.36499467889031,304.4890513988053,299.7489505007202,291.79815039827145,292.14602250279177,288.76004033873755,285.1416946671505
PT,Portugal,1993,8,295.8854408273212,2.3010418810088744,84.7889278710011,307.81571067469326,302.23327640347327,296.89414032228626,294.13649583764817,290.48080279697194,287.02528500136833
PT,Portugal,1993,9,292.85077650428497,13.159475125858084,38.52089066840791,303.08296912847754,299.08888756776025,293.0146752236425,291.40362749479556,287.7515759245542,284.1756838245114
PT,Portugal,1993,10,289.3019155468921,47.45696219998588,11.009940323648376,300.06404506687255,294.0900086691877,286.93667344421857,289.7879205471701,285.5168002734979,279.09397810472944
PT,Portugal,1993,11,284.6346443801329,124.01615119936167,0.0382127577714807,293.173601116583,288.1705552159559,282.96707167197536,287.08004578258885,281.8566720774898,275.7274672276923
PT,Portugal,1993,12,284.4157623855932,131.9371912752015,0.0,289.81121193582186,286.886642862575,282.7592721771753,286.6498352615401,282.51969646508235,277.4695212260661
PT,Portugal,1994,1,282.05711391703534,205.04949969967166,0.0028393080786297863,290.03943300979296,284.80687766757063,279.19245580822405,285.5159158769163,279.6742271838942,273.3630334621794
PT,Portugal,1994,2,283.6196031424973,136.69395555612925,0.004262536791140821,291.8501585972287,287.52915445143566,283.39880331671515,284.3746570952464,280.6448313226896,276.598559617804
PT,Portugal,1994,3,285.27765239418443,110.81144848999713,0.8759901467137999,295.97045940644915,290.10178836225026,284.47819520457136,285.7599108513331,281.3870359981956,277.5395023648129
PT,Portugal,1994,4,283.607876385135,150.9200738599598,0.006524242211799955,292.7552293804842,287.627262545927,282.94297882260844,283.5399805978411,280.15372699311797,276.0684875405518
PT,Portugal,1994,5,287.43112341174424,69.3080639122381,4.0551776576914795,298.85877435686,290.67635488741723,285.3222685402015,289.353593931751,284.45094838336,279.57318446706216
PT,Portugal,1994,6,289.2533438018454,28.583504156223576,3.108367751244863,297.7953939747418,293.1594383399971,290.45576298807276,287.92677913953287,285.75457761944176,283.55030678430813
PT,Portugal,1994,7,292.6200234980053,13.265958954432667,35.378489197008946,303.54341959998135,298.11928147176127,293.30436070993716,291.93085909453265,287.8252461166357,284.2841610821517
PT,Portugal,1994,8,293.8587836534665,7.9210450463013045,52.569387028409786,305.7500231527958,299.91229224939974,294.1538720011023,292.4719347663744,288.729269337271,284.1163774921473
PT,Portugal,1994,9,292.9668492943446,11.514733968042114,40.435561655041546,307.5613256880228,298.24271588157455,291.012017903987,293.9398230943542,288.5945962545781,284.34651955740856
PT,Portugal,1994,10,289.4670747648748,30.41080557816212,5.108989950958501,299.77321204398214,292.5953896654168,287.4210073479939,290.50123135625995,286.9863113593725,283.1235815565797
PT,Portugal,1994,11,284.64379947268736,127.25116538416462,0.006049915261574019,291.8945552270186,287.47286887108686,284.2513573520526,287.9144598933629,282.253961518389,276.84195241481785
PT,Portugal,1994,12,281.9099799429272,208.63156556198902,0.0,288.0357464960268,285.0577273190134,281.12182889293507,285.12942255149346,279.39736714679117,274.50340425803194
PT,Portugal,1995,1,281.9267999998636,205.93695856158936,0.0,289.9448127734367,285.9067028930797,282.9596869654393,284.30209050202035,279.1023341116392,276.0002266977022
PT,Portugal,1995,2,282.47997279407247,171.29296034491762,0.0,290.499973762081,286.3495552894961,283.1255079015406,283.6116428987054,279.43447469395164,274.8812416632239
PT,Portugal,1995,3,285.0780852547901,112.09114094613658,0.09790797250996214,293.3632723160541,288.6949748282872,284.5784312451689,284.64871160356626,282.09734919022924,277.9472982252601
PT,Portugal,1995,4,288.9167992922403,50.95293762832404,7.919795165521641,299.76653847032804,294.00335462805054,284.36884065381525,288.2701455378907,284.2824712875463,278.66191009478354
PT,Portugal,1995,5,290.0860536288213,31.03579590932513,10.107610703781809,299.736305283784,294.94201757491226,290.10608978419475,289.3899852514224,285.5978590865552,280.46108629012065
PT,Portugal,1995,6,291.6793766425152,21.490318532650313,30.332123607932395,304.3132247807454,296.91220769101636,290.52466225484534,292.1382983689257,287.02691437655847,281.4690751744834
PT,Portugal,1995,7,297.4497712119139,1.2537116821247198,117.67635113778249,309.63156858727353,303.9590769830976,297.98472971515224,296.0339771720441,291.739461243154,287.29347797747516
PT,Portugal,1995,8,295.48674301751754,2.9593962181658435,75.62540257528836,306.92327130225596,301.5932502151442,297.21516752693555,294.4311636325611,290.3150436139836,287.38778017396885
PT,Portugal,1995,9,293.14383866897174,14.147093178350222,47.30328373665939,307.08215859794336,298.7761507480668,290.46817346220547,293.2138521057841,288.4159087748433,281.96479495353026
PT,Portugal,1995,10,288.98440537463375,38.799554331807556,4.474295685358046,300.041474708602,292.5505899730835,287.1386789025154,291.2261962444241,286.3129974830732,280.86944095866943
PT,Portugal,1995,11,284.84578340700506,118.23650896470517,0.1610855420821636,293.56649054403334,289.5350945425324,283.05845137764504,286.62284338336764,281.566283552223,275.2990938642202
PT,Portugal,1995,12,283.0687708746505,170.16370248662818,0.0069973116781982415,291.65603668221064,287.16078290475764,282.72694324827467,285.4712455881894,280.36374093142945,274.6278852335177
PT,Portugal,1996,1,282.9203945028635,178.07731412232306,0.0,289.1118030664772,285.9778917174952,283.3740287125753,285.92187695917227,280.49797998698085,276.42390671719824
PT,Portugal,1996,2,283.2834872159718,153.18973050583472,0.0,290.77531006062486,287.0288394661341,283.6015948620291,286.0509874935062,280.3608188072701,275.24439075080306
PT,Portugal,1996,3,285.2870329044209,114.17562043747145,0.9705296813184723,295.6064932315015,289.55052234911494,282.7241241161973,285.62078309470536,281.62361476621055,276.7842304361062
PT,Portugal,1996,4,287.689332877676,76.72383209007485,10.655744465358982,302.5010843177419,292.63985587313783,284.0689960554855,289.22942450596713,283.25690081216857,278.55008181043
PT,Portugal,1996,5,287.3880742437492,69.69253642763985,4.084279705088896,300.54207136306997,291.73572959362866,285.82973686104265,288.1671768746002,283.47238328863364,278.0327874406285
PT,Portugal,1996,6,293.32212869634327,8.096902408319922,34.955402730681286,304.15005268057234,298.8248425840196,294.8874184368807,291.95002583565736,288.37747841210756,284.1367836905787
PT,Portugal,1996,7,293.76714954165175,4.903766485632031,43.88417770229759,305.67763779503093,299.15667843016223,293.2065197477324,294.42429500301876,289.107369106957,286.5957009544468
PT,Portugal,1996,8,294.7792535944862,5.248268855830316,65.54794954967481,306.84670272669376,300.5869730377576,293.95596681841266,295.0093042902189,289.79968006840267,285.8539973278222
