nuts0,country,year,hdd_annual,cdd_annual,tas_annual
DK,Denmark,2086,2362.6507228940454,34.22326439269226,283.1644815687916
DK,Denmark,2087,2422.6286067211777,11.168665326228913,282.8208470642981
DK,Denmark,2088,2118.4215450385313,12.058696945424668,283.41328789731546
DK,Denmark,2089,2182.127316990826,30.674536824985484,283.7641562412797
DK,Denmark,2090,2233.6950622356608,28.353833798069175,283.35594621281507
DK,Denmark,2091,2263.4461190623715,10.506330817350968,282.9219545919347
DK,Denmark,2092,2283.568898329364,1.767216014269175,282.6881162698811
DK,Denmark,2093,2314.0715352307807,9.707697683802587,282.84809271972523
DK,Denmark,2094,2359.05436140207,3.729522401550322,282.54959892968435
DK,Denmark,2095,2201.0690571545597,7.702115007230086,283.1252778162964
DK,Denmark,2096,2054.698578726473,19.490132694678035,283.7978694611895
DK,Denmark,2097,1980.2993667150647,19.466971351953276,284.1396814365899
DK,Denmark,2098,2162.35293480855,6.541158851780735,283.2406925015399
DK,Denmark,2099,2062.395443582752,18.717239096718814,283.6720194077908
DK,Denmark,2100,2116.411411024842,44.53305829334823,283.921776719153
EE,Estonia,1950,3961.4893786668254,21.62109815762055,278.4742638946981
EE,Estonia,1951,4136.366921147851,2.734265877617048,277.529511400067
EE,Estonia,1952,4013.3579652800972,9.452126804805133,278.0330550687203
EE,Estonia,1953,3923.5974394235745,2.526322541701065,278.13377111086925
EE,Estonia,1954,3441.3664182951707,11.400017730300076,279.77315762172003
EE,Estonia,1955,4538.315535041498,11.48012147233176,276.66876433519286
EE,Estonia,1956,4012.387763261371,8.753416295008869,278.1650729359852
EE,Estonia,1957,4217.6156932353115,26.62815456253836,277.77141589156696
EE,Estonia,1958,3727.0768054228693,16.1231122288213,278.97655613408796
EE,Estonia,1959,4157.740672991288,16.753999788085594,277.7969807755509
EE,Estonia,1960,4112.622583646332,3.007399095350456,277.69471022252293
EE,Estonia,1961,4475.1607752809205,5.258491022409762,276.6580770131883
EE,Estonia,1962,4036.519458105836,3.4744124798945144,277.9093197004918
EE,Estonia,1963,4054.0059157132196,5.201230788983384,277.9254881808195
EE,Estonia,1964,3904.33247193517,23.059920484859834,278.682555085172
EE,Estonia,1965,3723.3486501879,5.0163961687079865,278.75462807084114
EE,Estonia,1966,3998.072225174241,18.632757415255014,278.33144956173135
EE,Estonia,1967,4009.4568434245766,1.1182525276920443,277.8966663332752
EE,Estonia,1968,4771.707617980048,11.906027415860898,276.04894119779306
EE,Estonia,1969,5083.579964211918,2.4502002135905205,275.0149824690858
EE,Estonia,1970,4183.287289211242,9.382340291391234,277.52488768976775
EE,Estonia,1971,3610.774173391163,8.789212492458727,279.0928400296489
EE,Estonia,1972,3615.2071149901203,77.37004600476787,280.05518790790416
EE,Estonia,1973,3591.9361030371215,7.223309476679216,279.26891193252663
EE,Estonia,1974,3184.343761404055,14.637203363328908,280.59596149267736
EE,Estonia,1975,4209.0007577741,9.200753374661463,277.51924782603413
EE,Estonia,1976,4146.399004769017,32.29361559312065,278.22421846526856
EE,Estonia,1977,3937.586293312481,11.030603338123328,278.36035179826604
EE,Estonia,1978,3449.475860125819,22.225038844570797,279.8222738278572
EE,Estonia,1979,3645.8028077147937,19.09443534107993,279.2250993288694
EE,Estonia,1980,3684.794756420857,18.830441086222006,279.26038507412494
EE,Estonia,1981,2965.9656966717043,24.17379517980733,281.3522091598463
EE,Estonia,1982,3402.688789374088,26.742572251979325,280.0481377301104
EE,Estonia,1983,3246.7347927551828,2.999526216443858,280.04876849981554
EE,Estonia,1984,3785.5082666515627,3.006950809750333,278.6203805033282
EE,Estonia,1985,3446.298884232792,26.86084613927796,279.96367705421943
EE,Estonia,1986,3782.8722426407576,33.03578135663161,279.13205785070375
EE,Estonia,1987,3487.86029854524,17.44621973317761,279.6624851533452
EE,Estonia,1988,3389.1643184486793,20.637794815487176,280.0384937590708
EE,Estonia,1989,3685.6755248266704,23.728312070673798,279.2693052696868
EE,Estonia,1990,3506.8052039747963,20.208395724590908,279.7199695012726
EE,Estonia,1991,3614.6457571243427,25.94565013920012,279.37017902039486
EE,Estonia,1992,3980.1962297367927,22.795320076762298,278.40451629912343
EE,Estonia,1993,3749.714275867106,9.653007869219424,278.8406212374099
EE,Estonia,1994,4396.910806171976,11.623115687951403,277.1537110135988
EE,Estonia,1995,3761.4411040697128,3.8993274237113895,278.70153845467706
EE,Estonia,1996,4223.18428689477,21.9770246368166,277.7792686941543
EE,Estonia,1997,4186.919012430458,11.953585425092136,277.62157933237734
EE,Estonia,1998,4127.673817593134,65.21930493039156,278.4382268282924
EE,Estonia,1999,3584.7602836742562,1.447379016625177,279.0540545333043
EE,Estonia,2000,3299.7537742507457,5.950170776044346,279.9815078921166
EE,Estonia,2001,3963.720871705827,20.86645530793266,278.403274381437
EE,Estonia,2002,3188.723588801175,9.021836774612089,280.36262120791037
